region,year,adj_pe,adj_lower,adj_upper,pe,lower,upper
South West,2020,131.735156477693,119.169500727203,144.578701485329,123.007887265732,111.141244023626,134.874530507837
London,2020,53.7755407507491,47.9930518448642,59.6347538598271,53.4859335246255,47.7959405964738,59.5010689058144
East of England,2020,49.2926114552693,42.299037725891,56.5824201513972,48.8244291610491,41.8495107094706,55.7993476126275
South East,2020,67.0425482340616,60.260176273088,73.7747072543213,66.0606056380548,59.4371148352947,72.6840964408149
East Midlands,2020,133.306674759944,118.194899397803,148.242184743733,124.282491268851,110.923135529854,138.046675969636
South East,2021,17.0873715858067,13.4333088588378,20.9021372276651,16.8326314410117,13.2104196119333,20.6679145541537
East Midlands,2021,28.739905960224,22.1341114176808,35.6524409026373,27.1235404397819,21.0511060129651,33.6008038283865
South West,2021,30.6622519232888,24.7795624032412,36.8051422576323,28.9430322978192,23.4438561612335,34.731638757383
London,2021,16.7171346618099,13.1782505990027,20.5380883084995,16.2106208863108,12.6950645495205,19.7261772231011
North West,2021,51.5426019956064,45.0462990434764,58.4155815646536,49.8202284300422,43.5926998762869,56.2624993477201
West Midlands,2021,38.9662639858507,32.6959055437785,45.5894992640784,37.0773152716127,30.9422199388998,43.4791538796609
Yorkshire and The Humber,2021,61.5880932797797,52.3619982060466,71.3562264048518,58.0045165234584,49.4639742132559,67.2567706928444
North East,2021,97.2284242849851,80.1971005327607,114.707626746805,89.675375141986,74.3649452396957,105.714873134862
East of England,2021,12.4197333800067,8.66674994062153,16.508512753754,12.1861633302097,8.43657461322211,16.248217773613
England,2002,100.475599783379,97.094022911603,103.914338889881,103.646613386063,100.145661111689,107.239695983447
England,2003,135.108980540832,131.195510706037,138.954711968808,138.057417494534,134.062502934635,142.112549236312
England,2004,121.888013367265,118.159875598969,125.66122901652,123.654620479275,119.90125182902,127.376969553908
England,2005,106.731777848129,103.2793943662,110.141995688542,108.011716728053,104.511059980911,111.572213761471
England,2006,108.005562746085,104.562702570444,111.515285009169,108.885787837967,105.333233585504,112.349528234117
England,2007,101.385432714003,98.0742673050287,104.820689447503,101.753741869231,98.3521758586168,105.184631724764
England,2008,103.747133172768,100.439292201358,107.11725153501,104.044278218067,100.551882865293,107.565776865448
England,2009,97.9828793624969,94.6443327054576,101.324490900602,98.0211140837814,94.7209348145696,101.264119194601
England,2010,101.006794672231,97.7426644280334,104.319898965719,100.676877202954,97.3679772663037,104.072096268387
England,2011,89.3485209193868,86.2030237081454,92.4705519405938,88.6222568467909,85.5071888054171,91.7659034940489
England,2012,92.2747231678423,89.0396159360259,95.479416541791,91.4386108746944,88.2628643768562,94.642967701342
England,2013,103.689756409316,100.301905287895,107.094826420911,102.652217716692,99.3934171542575,105.996776188665
England,2014,119.025343037795,115.368237143416,122.649625046493,117.626839066001,114.036642312964,121.159347674426
England,2015,135.928452059221,131.999892978627,139.913045573871,134.174861588597,130.29189664613,138.001849481711
England,2016,155.964709277779,151.822228855794,160.186782437599,153.535230469241,149.473343700628,157.596412171587
England,2017,163.129885261767,158.908873113006,167.34898615603,160.323893656807,156.103362935761,164.572561249327
England,2018,169.34668594251,165.001002265302,173.59710341528,166.408564636236,162.229418145288,170.727950942318
England,2019,170.860593122352,166.627898450997,175.161853833301,167.929655101251,163.732812671196,172.155175954577
England,2020,129.819679956975,126.007335736991,133.673128794588,127.23144623879,123.607412932251,130.966988262453
England,2021,29.0623693471857,27.3075200401959,30.8110169905952,28.5741087630937,26.8457236476676,30.331067987283
North West,total,204.676647802248,201.750990418726,207.667413843303,200.222367993597,197.343196734252,203.112445204681
North East,total,186.711605081864,181.936428617489,191.520997905675,182.493634905088,177.949715328044,187.098958800742
Yorkshire and The Humber,total,251.378905544261,247.603071422283,255.260095233305,249.681450854525,245.995120467404,253.457691738893
East Midlands,total,121.458058122875,118.548639521048,124.345147526095,120.925518833896,118.083138488161,123.856723565436
South West,total,126.173958368094,123.413187882449,128.937622450392,121.833133280061,119.177659581716,124.443084572148
East of England,total,57.3899268725066,55.6659200626737,59.1194648754278,58.0896628272786,56.3759012380858,59.8719748800391
London,total,57.5596468809797,56.1448307233243,58.9422984351431,60.3418136699143,58.92554695623,61.7580803835987
South East,total,61.2056600376908,59.790672427555,62.6774092330007,60.8616003217165,59.4099119044438,62.2858470426152
West Midlands,total,99.6942270213529,97.3935715891568,102.02262439856,98.4942874150361,96.2478224531372,100.796207729977
England,total,116.372094246044,115.556577362126,117.181873643921,116.372094246044,115.57534146742,117.170290417384
