Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 47,South East,101954,102319,104947,132952,121416,111749,106866,102850,102479,103437,104547,103706,105295,109129,113519,115740,117527,122216,125809,130209,132894,134305,133008,133657,130720,130471,127092,131238,127244,124084
Age 48,South East,96914,101666,102271,105019,132485,121317,111542,106557,103059,102536,103172,103628,103438,105025,108804,113480,115452,117564,122256,125919,129981,132951,134474,133274,133843,130795,130532,127112,131397,127348
Age 49,South East,87061,96574,101186,102169,104932,131865,121118,111170,106627,102874,102270,102451,103248,102960,104879,108745,112978,115314,117486,122105,125842,129876,133001,134735,133429,133996,130622,130493,127022,131288
Age 50,South East,77528,86653,96190,100876,102237,104933,131235,120877,110980,106401,102230,101543,101946,102480,102632,104654,108501,112787,115075,117276,121834,125807,129716,133002,134820,133533,133749,130634,130403,126899
Age 51,South East,83566,77477,86290,95885,100613,102150,104840,130505,120826,110622,105994,101709,100811,101281,102148,102263,104337,108382,112382,114823,116933,121774,125708,129808,133141,134779,133249,133581,130564,130308
Age 52,South East,83696,83192,77269,85823,95542,100101,101826,104497,129863,120358,109827,105337,101128,100072,101070,101605,101708,104300,108157,111970,114525,116766,121728,125672,129779,132958,134567,132881,133389,130322
Age 53,South East,82822,83275,82779,77125,85449,95140,99702,101511,104383,129151,119812,109233,104476,100367,99578,100645,101121,101442,104026,107746,111427,114461,116539,121687,125497,129622,132458,134286,132685,133189
Age 54,South East,80700,82616,83063,82650,77385,85131,94872,99272,101420,104258,127721,118974,108471,103608,99932,98902,100288,100823,101090,103709,107248,111371,114137,116398,121236,125149,129220,132116,134036,132354
Age 55,South East,79374,80258,82195,82708,82330,77166,84669,94373,98702,100895,103703,127074,117623,107764,103094,99553,98307,99619,100447,100818,103293,107086,111063,113918,116161,120791,124513,128829,131632,133595
Age 56,South East,77984,78921,79813,81704,82287,81935,77014,84050,93801,98128,100298,102602,126179,116403,107202,102453,99044,97387,99250,99994,100266,102988,106857,110841,113615,115761,120254,124018,128337,131224
Age 57,South East,74493,77477,78444,79429,81386,81901,81602,76668,83757,93295,97345,99167,101350,125438,115481,106716,101899,98222,96936,98868,99382,99908,102526,106529,110532,113285,115141,119835,123423,127799
Age 58,South East,74209,74045,76921,78017,79050,80901,81474,81083,76398,83094,92465,96433,97971,100319,125155,114766,106037,101162,97862,96364,98399,99104,99484,102218,106117,110061,112571,114520,119238,122741
Age 59,South East,76540,73703,73522,76384,77555,78593,80438,80952,80444,75954,82255,91471,95538,96983,99534,124714,113886,105301,100636,97463,95673,98069,98720,99137,101803,105635,109484,111959,113722,118542
Age 60,South East,77798,75882,73106,73095,75955,77099,78192,79870,80403,79942,75160,81368,90657,94680,96072,98640,123749,113203,104906,100044,96815,95216,97503,98271,98788,101359,104941,108822,111213,112980
Age 61,South East,76489,76971,75246,72755,72735,75458,76683,77733,79306,79724,79134,74248,80642,89860,93941,95107,97384,123436,112391,104459,99360,96348,94741,97080,97774,98231,100850,104190,108178,110445
Age 62,South East,74212,75676,76191,74688,72291,72174,74895,76028,77074,78634,78790,78296,73314,79839,89075,93298,93949,96666,122957,111677,103859,98842,95827,94308,96711,97247,97586,100193,103559,107405
Age 63,South East,72869,73414,74716,75401,74044,71723,71602,74254,75329,76397,77654,77830,77424,72362,79064,88316,92378,93131,95903,122670,110667,103369,98174,95376,93840,96111,96492,96778,99493,102817
Age 64,South East,72567,71932,72608,73949,74691,73397,71228,71052,73567,74670,75483,76762,77002,76605,71447,78377,87236,91908,92282,95216,122151,110088,102793,97694,94746,93194,95373,95851,96119,98701
Age 65,South East,72544,71608,70875,71852,73144,73810,72637,70583,70249,72741,73761,74339,75643,75934,75732,70232,77601,86625,91274,91593,94363,121446,109385,102178,97121,94158,92262,94380,95011,95350
Age 66,South East,71232,71495,70600,69898,71032,72292,73027,71913,69807,69481,71784,72730,73242,74593,75064,74671,69438,77051,85930,90815,90629,93764,120595,108730,101339,96317,93299,91559,93545,94105
Age 67,South East,70910,70001,70275,69548,68857,70026,71294,71956,70770,68959,68471,70697,71661,72222,73762,74039,73753,68616,76316,85249,90052,90019,93128,119650,107786,100569,95524,92454,90618,92583
Age 68,South East,71999,69689,68764,69073,68581,67791,69037,70217,70981,69758,67974,67302,69527,70526,71242,72662,73211,72927,67662,75686,84463,89289,89181,92295,118493,106732,99592,94666,91458,89693
Age 69,South East,73382,70470,68280,67472,67866,67383,66598,67936,68893,69770,68617,66751,66031,68324,69533,70051,71669,72389,71994,66837,74873,83619,88421,88357,91358,117411,105577,98507,93594,90496
Age 70,South East,76451,71747,68822,66763,66075,66370,66047,65245,66630,67584,68338,67270,65483,64778,67249,68392,69041,70794,71441,71039,65900,74052,82606,87611,87421,90387,116027,104393,97310,92527
Age 71,South East,78949,74741,70087,67173,65255,64587,64941,64711,63942,65220,66131,66894,65981,64219,63635,66039,67265,68024,69802,70569,69944,65117,73159,81694,86489,86414,89185,114554,103011,96042
Age 72,South East,50692,76556,72733,68133,65372,63519,62991,63222,63053,62334,63718,64600,65389,64417,62944,62332,64837,66127,66940,68820,69393,68928,64226,72063,80592,85386,85094,87926,113006,101699
Age 73,South East,47305,49282,73992,70616,66132,63361,61703,61152,61546,61344,60649,61938,63005,63819,63049,61456,61078,63611,64876,65848,67586,68321,67744,63243,70987,79299,83996,83687,86601,111274
Age 74,South East,52667,45694,47943,71291,68395,64032,61411,59831,59404,59725,59602,58811,60242,61287,62194,61486,60079,59834,62281,63669,64626,66478,67106,66687,62176,69762,77868,82562,82305,84944
Age 75,South East,55373,50662,43948,46524,68619,66104,61943,59408,57976,57415,57781,57745,56928,58504,59568,60492,59950,58611,58463,60940,62286,63512,65122,65853,65254,60920,68232,76264,81092,80572
Age 76,South East,55015,53130,48528,42255,44957,65673,63748,59696,57111,55808,55417,55747,55625,55035,56618,57833,58815,58383,56969,57060,59465,60830,62014,63744,64414,63786,59555,66564,74750,79270
Age 77,South East,53590,52461,50624,46377,40469,43281,62650,61237,57352,54845,53702,53222,53563,53602,53059,54707,56072,56994,56768,55221,55474,57920,59312,60518,61980,62905,62206,57993,64962,72741
Age 78,South East,50702,50963,49948,48281,44205,38553,41594,59638,58711,54799,52557,51390,50975,51356,51529,51045,52850,54121,55083,55008,53425,53927,56221,57748,58681,60172,61081,60424,56414,63010
Age 79,South East,46628,47869,48248,47303,45664,41753,36554,39861,56597,55830,52356,50177,48887,48556,48984,49354,49124,50849,52133,53194,53082,51619,52145,54372,55812,56818,58140,59116,58613,54415
Age 80,South East,43148,43835,45086,45387,44576,42931,39268,34484,38143,53199,53024,49518,47555,46351,46224,46625,47232,47024,48749,50063,51078,51036,49756,50232,52270,53904,54752,56014,57141,56252
Age 81,South East,40052,40225,40921,41965,42495,41722,40147,36855,32215,36199,49674,49838,46649,44914,43730,43841,44244,44894,44717,46448,47837,48917,48811,47716,48064,50125,51638,52450,53830,54649
Age 82,South East,36828,37000,37310,37950,39026,39470,38795,37432,34264,29820,34297,46096,46549,43597,42233,41123,41365,41724,42390,42460,44040,45427,46562,46558,45397,45854,47755,49347,50145,51168
Age 83,South East,33567,33858,34017,34253,34987,35836,36189,35844,34432,31537,27679,31903,42624,43167,40501,39525,38618,38812,39160,39891,40004,41594,42933,44189,43891,43082,43420,45157,46819,47360
Age 84,South East,29470,30471,30871,30737,31194,31883,32783,33208,32933,31471,28950,25386,29514,39046,39919,37534,36779,35936,36050,36660,37288,37337,38980,40281,41349,41124,40437,40866,42499,43816
Age 85,South East,-,-,-,-,-,-,-,-,-,-,27969,26298,23024,27089,35327,36532,34562,33967,33163,33349,33987,34659,34600,36451,37297,38473,38226,37734,38125,39321
Age 86,South East,-,-,-,-,-,-,-,-,-,-,26594,25083,23631,20643,24766,31866,33314,31487,30951,30480,30613,31204,31777,32075,33444,34338,35393,35223,34915,34922
Age 87,South East,-,-,-,-,-,-,-,-,-,-,23481,23604,22164,21025,18432,22384,28296,29938,28436,28045,27728,27722,28301,29065,29005,30501,31191,32161,32145,31614
Age 88,South East,-,-,-,-,-,-,-,-,-,-,20360,20581,20707,19307,18601,16211,20276,24790,26537,25463,25234,24785,24762,25546,25986,26149,27467,27864,29130,28686
Age 89,South East,-,-,-,-,-,-,-,-,-,-,17033,17470,17707,17957,16633,16158,14137,18105,21300,23362,22518,22196,21877,21994,22421,23133,23171,24221,24741,25482
Aged 90+,South East,-,-,-,-,-,-,-,-,-,-,60884,62620,64024,65670,67213,67893,68493,66744,68983,73937,79582,84003,86484,89976,90727,92950,94678,95679,99436,100013
All Ages,South West,4688248,4713921,4733634,4757078,4781856,4793090,4827319,4849464,4880958,4917074,4943364,4976129,5006653,5038284,5086121,5119840,5170537,5205044,5226821,5261270,5300831,5339739,5377702,5423278,5471610,5516973,5559316,5599735,5624696,5659143
Age 0,South West,57851,57337,55827,56261,54709,53559,55428,53642,53143,51602,50185,48762,50857,51953,52859,53647,56197,58547,57939,59140,60477,61531,59592,58665,58093,58668,56507,55362,53565,51726
Age 1,South West,58769,58064,57409,56230,56886,54885,54135,55612,54616,53705,52201,50564,49317,51193,52453,53303,54468,56802,58861,58227,59391,61387,62332,60521,59684,59044,59584,57298,56232,54442
Age 2,South West,58431,59083,58446,57835,56682,56971,55527,54687,56274,55170,54051,52751,51178,49789,51768,52957,53923,55216,57385,59414,58831,60283,62115,63398,61500,60642,59984,60552,58258,57236
Age 3,South West,59128,58727,59356,58889,58219,56959,57369,56037,55317,56735,55659,54740,53384,51651,50363,52204,53534,54327,55878,57929,59918,59618,61042,62904,64355,62460,61444,60839,61325,59090
Age 4,South West,57317,59404,58974,59711,59329,58446,57466,57564,56685,56055,57071,56440,55466,54079,52286,50853,52740,53966,54699,56556,58653,60656,60324,61949,63776,65387,63251,62306,61544,62038
Age 5,South West,56549,57515,59732,59313,59988,59631,58923,57867,58033,57308,56646,57816,57042,56208,54459,52655,51395,53131,54254,54987,57193,59204,61257,61132,62789,64579,66166,63881,62919,62248
Age 6,South West,56323,56804,57789,60142,59715,60315,60178,59422,58636,58338,57914,57311,58627,57653,56574,54902,53142,51707,53512,54550,55255,57748,59765,61949,61782,63605,65223,66757,64456,63574
Age 7,South West,54313,56692,57187,58250,60685,60122,60919,60806,59980,59323,58828,58587,58071,59352,58004,57103,55533,53546,52123,53928,54736,55723,58255,60433,62695,62453,64314,65885,67421,65054
Age 8,South West,54629,54689,56928,57522,58576,60969,60512,61286,61591,60511,59856,59697,59227,58900,59656,58335,57779,56086,54036,52551,54133,55194,56196,58913,61141,63393,63094,64834,66421,67986
Age 9,South West,55040,55065,55109,57333,57782,58841,61426,60942,62138,62298,61024,60432,60510,59757,59402,60156,58850,58257,56459,54404,52748,54646,55711,56804,59546,61793,64062,63730,65429,67038
Age 10,South West,55819,55468,55454,55597,57639,58098,59265,61926,61850,62654,62936,61720,61041,61215,60179,59964,60874,59286,58672,56927,54748,53300,55066,56241,57358,60093,62400,64701,64178,66024
Age 11,South West,57186,56478,55941,55902,56066,58025,58605,59747,62601,62278,63176,63680,62350,61667,61884,60608,60619,61324,59703,59138,57374,55313,53749,55610,56811,58016,60732,62939,65305,64802
Age 12,South West,55579,57787,57038,56599,56514,56661,58703,59194,60414,63155,62872,63634,64312,62766,62167,62489,61111,61125,61818,60183,59602,57915,55783,54373,56170,57558,58641,61304,63439,65942
Age 13,South West,51658,56127,58136,57544,57099,56864,57235,59448,59585,60757,63670,63237,64057,64628,63179,62711,63201,61520,61620,62492,60656,60311,58429,56383,54914,56888,58202,59291,61893,63958
Age 14,South West,51473,52429,56775,58799,58243,57548,57516,57935,60141,60619,61907,64182,63930,64466,65238,63790,63453,63877,62069,62444,63169,61339,61031,59310,57192,55781,57711,58982,60025,62621
Age 15,South West,53634,51747,52632,57068,59176,58507,58093,57919,58505,60284,60924,61981,64378,64119,64834,65563,64290,63786,64407,62439,63065,63603,61593,61517,59809,57712,56207,58247,59385,60455
Age 16,South West,56773,53733,51847,52809,57317,59269,58824,58433,57936,58576,60552,60879,62117,64655,64516,64892,66086,64587,64136,64949,62913,63377,63810,61993,61915,60237,58057,56546,58469,59674
Age 17,South West,59299,56711,53598,51689,52640,56993,59541,58958,58404,57826,58842,60403,61059,62242,64961,64819,65506,66284,64898,64645,65844,63109,63569,64441,62624,62589,60898,58868,57213,58996
Age 18,South West,62358,59658,56612,52459,50036,51144,55462,57681,58520,57462,57405,59460,61155,61697,63302,65484,65892,66021,67129,65916,65795,66456,64001,64805,65738,63935,64069,62101,60054,58598
Age 19,South West,64204,59652,58207,54255,49964,47381,48580,54145,56475,56804,56650,57901,60005,62080,63272,64238,67346,67493,67976,69850,68616,67128,69590,67299,68791,69424,68210,68524,65899,64951
Age 20,South West,66067,63900,59515,57042,54015,49694,48290,49894,53433,56157,57229,56152,57344,59679,62617,62920,64565,67117,66973,68110,70252,68413,67962,70034,68493,69721,70141,69197,69208,67042
Age 21,South West,65178,66373,63455,59456,56947,53597,50235,48527,49071,53656,56147,57484,56404,57946,61229,63155,63997,64782,66710,67304,68589,69729,68201,67731,69989,67847,68529,69474,67598,68275
Age 22,South West,67407,65034,65699,62936,59675,56803,54380,50129,48379,49812,53783,56644,57547,57153,59823,61786,63785,63803,63706,66454,67618,68266,69743,68257,67926,69297,67157,68092,68450,68052
Age 23,South West,66724,66955,64013,64900,63152,59398,57632,53725,49758,48998,49990,53793,56620,57840,58569,60370,62153,63425,62333,63226,65769,66743,67394,68833,67753,66468,67701,65506,65397,67299
Age 24,South West,68702,66096,66085,63574,64907,62455,59682,56985,52217,49606,49061,50463,54242,57553,59790,59644,61350,62121,62226,62459,63304,65332,66348,66926,68743,67185,65550,67064,63929,65053
Age 25,South West,68859,69095,66223,66674,64349,65101,63412,59906,55669,53073,50059,49758,50754,54710,58988,60157,60492,60992,60835,61945,62109,63318,65243,66161,67109,68479,67202,65564,66117,63958
Age 26,South West,69215,69146,69101,66602,67157,64281,65736,63189,59011,56171,52676,50728,50519,51450,56365,59791,61235,60739,60434,60887,62069,61863,63391,65310,66468,67110,68507,67319,64805,66349
Age 27,South West,69755,69349,69205,69579,66730,66554,64748,65462,62724,59311,55875,53197,51610,51278,52772,57016,61198,61446,60499,60821,61077,62129,62080,63474,65861,66532,67244,68887,66666,65099
Age 28,South West,67940,70155,69688,69970,70331,67079,67609,65299,65533,63492,59440,56565,54057,52443,52568,53449,58384,61496,61292,61035,61303,61226,62403,62222,64066,66329,66799,67777,68592,66766
Age 29,South West,67322,68277,70189,70606,70799,70707,68099,67697,64906,66080,63358,60060,57315,55041,53883,53409,54473,58859,61678,61727,61696,61605,61786,62864,62823,64404,66833,67380,67363,68943
Age 30,South West,66534,67546,68612,71058,70927,70680,71086,67830,67658,65708,66246,64090,61027,57839,56507,54827,54287,55332,59436,62304,62517,62011,62125,62110,63533,63197,64850,67448,67332,67904
Age 31,South West,64065,67245,68183,69680,71675,71292,71575,71592,68516,68619,66469,66873,65012,61617,58830,57398,55723,55108,55758,59977,63064,62856,62373,62522,62801,64192,63674,65526,67522,68127
Age 32,South West,63158,64426,67310,68379,70101,71739,71926,71744,71701,69333,68898,67231,67762,65532,62962,59763,58178,56483,55480,56143,60619,63432,63309,62716,63214,63282,64621,64386,65645,68133
Age 33,South West,62950,63808,64926,67808,68789,70378,72454,72398,72637,72731,69775,69645,67923,68322,66591,63841,60757,58886,57013,55773,56542,60988,63909,63797,63401,63697,63887,65233,64743,66444
Age 34,South West,61073,63529,64183,65439,68200,69060,71271,72809,73226,73536,73222,70610,70424,68423,69370,67415,64741,61551,59312,57479,56318,56859,61433,64281,64271,64037,64186,64477,65419,65195
Age 35,South West,59731,61678,64110,64636,65861,68368,69499,71612,73744,74059,74279,74285,71411,71280,69606,70357,68501,65465,62215,59867,58029,56805,57174,61878,64948,64995,64656,64905,64731,65906
Age 36,South West,58740,60281,62182,64605,65124,66290,69124,69879,72908,74679,74744,75322,74924,72064,72404,70358,71443,69160,66010,62586,60365,58379,57239,57670,62450,65544,65657,65169,65283,65304
Age 37,South West,61038,59058,60460,62315,64789,65164,66742,69232,70664,73399,74888,75542,75931,75471,72893,72913,71278,72109,69555,66330,62994,60786,58656,57714,58251,63047,66078,66419,65554,65738
Age 38,South West,60467,61615,59657,61052,62893,65253,65776,67036,70021,71369,73864,75720,76169,76564,76314,73542,73758,71776,72663,70092,66891,63399,61262,59099,58324,58836,63753,66629,66731,65998
Age 39,South West,60122,61090,62103,60297,61696,63374,65996,66263,67808,70657,71935,74705,76404,76852,77227,76878,74419,74312,72153,73076,70644,67283,63808,61738,59673,58693,59408,64277,66959,67243
Age 40,South West,61551,60440,61157,62062,60428,61636,63572,65976,66664,68266,70833,73028,75274,77092,77604,77733,77647,74597,74662,72482,73540,70993,67698,64292,62344,60088,59224,60001,64647,67412
Age 41,South West,64211,61941,60827,61551,62430,60831,62196,63914,66579,67390,68650,71547,73477,75614,77822,77916,78276,77787,74931,74832,72580,73954,71440,68164,64691,62808,60755,59673,60307,65032
Age 42,South West,66439,64560,62192,61155,61844,62579,61215,62458,64363,67154,67780,69226,71749,73968,76131,78139,78495,78328,77912,75106,75061,72942,74327,71852,68615,65266,63409,61371,59977,60684
Age 43,South West,71846,66592,64707,62384,61501,61949,62831,61477,62804,64890,67374,68394,69507,72243,74633,76377,78797,78529,78558,78009,75362,75401,73252,74728,72392,69081,65835,63899,61785,60337
Age 44,South West,78712,72137,66883,64970,62654,61810,62357,63044,61872,63373,65146,68015,68767,69969,72829,74993,77011,78998,78777,78706,78242,75654,75681,73776,75283,72840,69661,66276,64086,62107
Age 45,South West,61984,78707,72331,67107,65172,62769,62163,62521,63299,62403,63674,65356,68297,68959,70238,73001,75312,77145,79009,78808,78761,78591,75914,76080,74203,75653,73458,70032,66412,64421
Age 46,South West,61980,62276,78581,72512,67241,65238,62983,62383,62858,63630,62650,63717,65828,68474,69365,70533,73347,75556,77096,79199,78976,79043,78882,76143,76488,74732,76155,73796,70385,66722
Age 47,South West,61943,62423,62694,78671,72794,67454,65577,63260,62822,63288,63795,62698,64021,66151,68706,69640,70868,73572,75731,77254,79469,79283,79315,79162,76523,76886,75229,76567,74062,70731
Age 48,South West,58941,62056,62674,63057,78772,72966,67700,65729,63624,63217,63571,63849,62988,64129,66439,68889,69837,71078,73586,76026,77428,79747,79589,79646,79611,76881,77235,75672,76761,74491
Age 49,South West,53347,59259,62255,63040,63473,78805,73269,67931,66319,64106,63600,63716,64141,63124,64292,66675,69111,70160,71195,73657,76317,77723,79963,79793,80017,80069,77215,77585,76027,77087
Age 50,South West,48174,53467,59341,62338,63276,63634,78770,73344,68485,66690,64351,63935,63981,64264,63222,64321,67056,69273,70220,71244,73810,76483,77886,80209,80143,80402,80501,77495,77927,76370
Age 51,South West,51054,48561,53711,59625,62499,63558,64016,78799,74228,68973,66753,64711,64017,64215,64585,63267,64547,67339,69391,70245,71450,74103,76681,78110,80539,80511,80718,80926,77878,78269
Age 52,South West,51130,51344,48873,53926,59874,62635,63900,64336,79652,75084,69468,67136,64755,64020,64424,64615,63517,64706,67396,69408,70450,71626,74216,76998,78416,80978,80846,81108,81302,78237
Age 53,South West,50399,51228,51404,49036,54014,59933,62722,64028,65072,80064,75398,69689,67318,64782,64142,64492,64866,63663,64736,67487,69504,70749,71859,74499,77303,78761,81360,81305,81381,81598
Age 54,South West,49643,50535,51299,51608,49264,54029,60052,62688,64904,65870,80195,75595,69805,67355,64969,64106,64748,65034,63589,64781,67624,69692,70936,72106,74853,77644,79164,81760,81605,81672
Age 55,South West,48999,49734,50681,51414,51665,49380,54117,60115,63334,65433,66262,80690,75531,69873,67459,65035,64197,64752,65083,63634,64918,67744,69850,71178,72303,75119,78033,79638,82149,82031
Age 56,South West,48444,49083,49885,50889,51651,51885,49723,54359,60911,63747,65830,66370,80904,75474,69876,67579,65157,64076,64779,65102,63670,65057,67810,70135,71477,72662,75601,78523,79902,82520
Age 57,South West,47019,48396,49013,49935,50963,51642,51981,49805,54803,61300,63951,65898,66186,81170,75426,69945,67709,65092,64048,64828,65086,63857,65150,68130,70382,71716,73105,75912,78828,80258
Age 58,South West,48082,47074,48403,49047,50090,51162,51882,52185,50314,55107,61568,64251,65772,66150,81398,75450,70127,67534,65027,64018,64974,65205,63958,65385,68400,70700,72108,73356,76054,79092
Age 59,South West,49302,48085,47022,48380,49083,50153,51367,52022,52519,50713,55203,61669,64174,65584,66042,81670,75535,70052,67486,65017,63987,65034,65415,64115,65624,68701,71000,72294,73547,76337
Age 60,South West,50809,49288,48115,47133,48449,49152,50384,51535,52571,52991,51055,55275,61733,64341,65411,65949,81965,75633,70037,67544,65080,64142,65131,65624,64428,65951,69006,71305,72513,73833
Age 61,South West,50638,50831,49300,48271,47262,48545,49349,50690,52127,53096,53360,51036,55297,61724,64401,65203,65832,82249,75479,70071,67602,65200,64256,65436,65910,64751,66258,69386,71448,72697
Age 62,South West,49914,50426,50658,49164,48193,47166,48504,49346,50989,52371,53044,53268,50886,55257,61557,64478,65004,65622,82292,75341,70005,67716,65272,64540,65602,66151,64948,66481,69418,71518
Age 63,South West,49463,49822,50258,50520,49014,48130,47245,48529,49630,51249,52399,53003,52945,50640,55064,61310,64367,64843,65302,82330,75208,70036,67806,65500,64716,65862,66290,65157,66550,69509
Age 64,South West,50090,49226,49608,50054,50377,48834,48088,47215,48718,49669,51212,52190,52830,52645,50211,54889,60993,64184,64447,64996,82311,75219,70041,67937,65648,64757,66039,66341,65142,66596
Age 65,South West,50665,49792,48989,49323,49842,50105,48657,47973,47310,48834,49576,51100,51804,52452,52205,49597,54632,60745,63854,64127,64642,82360,75067,70046,67894,65657,64876,66047,66427,65117
Age 66,South West,50311,50137,49297,48608,48961,49450,49787,48344,48028,47192,48619,49281,50608,51413,52062,51619,49216,54328,60267,63579,63744,64463,82168,75023,69973,67842,65560,64778,65998,66376
Age 67,South West,50725,49730,49552,48845,48184,48475,48985,49371,48148,47709,46871,48279,48786,50070,50944,51479,51077,48808,53887,59880,63237,63446,64171,82029,74869,69782,67659,65397,64647,65766
Age 68,South West,50940,50013,48913,48881,48150,47486,47910,48399,48964,47739,47244,46432,47742,48199,49455,50307,50982,50534,48177,53444,59421,62731,63037,63776,81680,74592,69489,67355,65051,64364
Age 69,South West,52695,49919,49141,48157,48097,47380,46774,47287,47994,48359,47170,46654,45806,47147,47541,48758,49656,50410,49842,47603,52936,58890,62262,62550,63402,81212,74169,69047,66984,64668
Age 70,South West,54725,51626,48916,48342,47325,47213,46622,46069,46697,47329,47715,46572,45865,45097,46497,46760,48144,49061,49688,49155,46909,52396,58326,61699,62049,62856,80630,73525,68613,66345
Age 71,South West,55412,53452,50461,47800,47283,46265,46272,45729,45233,45844,46525,46798,45688,45038,44322,45765,46074,47467,48283,48946,48382,46322,51798,57733,61058,61366,62197,79811,72865,67936
Age 72,South West,35729,53742,52099,49227,46636,46211,45206,45222,44860,44269,44946,45613,45757,44819,44235,43396,44939,45394,46613,47404,48214,47643,45644,51124,57004,60347,60613,61428,78936,71996
Age 73,South West,33510,34808,51957,50629,47859,45287,44995,44001,44137,43817,43251,43953,44499,44691,43805,43154,42593,44207,44444,45707,46567,47421,46869,44916,50395,56199,59475,59743,60625,77950
Age 74,South West,36667,32444,33895,50148,49056,46390,43928,43767,42934,42918,42712,42037,42779,43418,43486,42650,42163,41736,43311,43460,44759,45787,46490,45993,44123,49555,55306,58546,58853,59666
Age 75,South West,38545,35309,31276,32864,48311,47377,44922,42464,42247,41582,41648,41356,40793,41518,42241,42253,41563,41100,40736,42412,42516,43899,44856,45583,45094,43312,48631,54195,57484,57752
Age 76,South West,38497,36933,33866,29999,31725,46223,45622,43312,40954,40813,40210,40261,39951,39465,40213,41017,41005,40520,39975,39625,41393,41568,42820,43858,44541,44122,42381,47518,53001,56216
Age 77,South West,37876,36761,35157,32367,28645,30538,44033,43908,41622,39360,39347,38659,38739,38517,38075,38775,39737,39699,39267,38823,38523,40330,40452,41824,42731,43419,43023,41221,46354,51620
Age 78,South West,35238,35935,34881,33425,30885,27246,29398,41888,42012,39808,37709,37670,37017,37151,36957,36497,37427,38249,38303,37955,37541,37292,39053,39329,40613,41442,42097,41775,40018,45035
Age 79,South West,32503,33335,34033,32989,31621,29258,25781,28229,39565,39996,38001,36050,35900,35355,35459,35326,35092,35897,36714,36891,36589,36319,35948,37879,38019,39341,40130,40732,40472,38698
Age 80,South West,30168,30494,31407,31832,31079,29692,27606,24385,26876,37099,38102,35961,34212,34125,33628,33734,33571,33501,34198,35165,35352,35205,34907,34697,36399,36624,37822,38617,39235,38928
Age 81,South West,28135,28126,28418,29171,29882,29079,27662,25931,22788,25517,34742,35943,33849,32254,32207,31777,31917,31833,31687,32497,33590,33739,33613,33516,33150,34852,35137,36189,37052,37502
Age 82,South West,25141,26112,26096,26257,27108,27679,26974,25811,24139,21193,24173,32385,33625,31644,30291,30315,29959,30065,29895,29959,30777,31926,32006,31972,31837,31557,33171,33344,34571,35257
Age 83,South West,22923,23065,24016,23958,24108,24915,25451,24968,23862,22259,19580,22601,29853,31184,29589,28377,28294,28149,28167,27952,28197,28985,30021,30279,30068,30018,29881,31298,31560,32711
Age 84,South West,20139,20824,21016,21814,21867,21946,22774,23288,22876,21690,20430,18031,20934,27348,28712,27271,26400,26272,26201,26179,25994,26341,26944,28167,28279,28195,28120,27955,29404,29546
Age 85,South West,-,-,-,-,-,-,-,-,-,-,19562,18522,16398,19300,24834,26293,25003,24309,24127,24234,24106,24067,24347,25088,26117,26248,26132,26109,26077,27276
Age 86,South West,-,-,-,-,-,-,-,-,-,-,18579,17556,16726,14663,17643,22471,23866,22771,22141,21968,22209,22050,22089,22454,22948,23876,24097,23940,24131,23951
Age 87,South West,-,-,-,-,-,-,-,-,-,-,16554,16484,15610,14839,12999,15979,20041,21494,20460,19913,19843,20201,19935,20051,20297,20736,21658,21777,21874,21835
Age 88,South West,-,-,-,-,-,-,-,-,-,-,14377,14538,14430,13623,13038,11561,14433,17588,19027,18220,17782,17775,18037,17952,17822,18222,18556,19322,19614,19469
Age 89,South West,-,-,-,-,-,-,-,-,-,-,12081,12347,12538,12437,11752,11371,10042,12916,15115,16625,16082,15738,15540,16040,15787,15705,16050,16284,17095,17278
Aged 90+,South West,-,-,-,-,-,-,-,-,-,-,42211,43740,45079,46173,47021,47471,47734,46339,47818,51158,55225,58388,59925,62185,62770,63777,64114,64247,66188,67043
