Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 25,North West,106807,104539,101643,101887,99594,100236,97436,90552,82022,79083,75367,72914,74888,81479,88417,89610,90647,92412,93111,96076,95146,93382,96672,96586,99625,103440,101354,97121,96138,94712
Age 26,North West,110302,106135,104458,101357,101732,99181,99634,97184,88752,81992,78856,75849,74018,75732,82569,89208,90173,90599,91957,92485,95310,94753,93162,96534,97123,100162,103256,101275,97974,96773
Age 27,North West,110583,109378,105687,103865,100857,100999,98566,99311,95344,88624,81863,79314,77149,75049,76919,83702,90083,90418,90714,92234,92327,95075,94334,92952,96905,97843,99950,103335,102347,98429
Age 28,North West,108727,109457,109069,105435,104146,101011,101057,98898,98039,95311,87998,82585,80563,78172,76204,78122,84909,90655,90533,91124,92605,92259,94713,93993,93211,97520,97811,100103,104117,102627
Age 29,North West,107063,107848,108714,108858,105449,104144,101079,101181,97627,98129,95087,88631,83732,81559,79370,77275,79285,85773,91248,91023,91625,92304,92019,94629,94689,93968,97670,97835,100871,104380
Age 30,North West,104246,106504,107624,108544,108566,105073,103962,101284,100203,97983,98105,95359,89454,84047,82364,80158,77650,79907,86426,91614,91179,91384,92091,91932,94868,95193,93981,97770,98316,101024
Age 31,North West,98799,103600,106203,107432,107899,108006,104604,103989,100858,100495,98194,98668,96158,90003,84799,83076,80623,78246,80384,86956,91921,91233,91237,91929,92247,95166,95260,94059,98476,98784
Age 32,North West,96514,98448,103236,105863,106957,107239,107545,104502,103819,101129,100543,98448,99637,96388,90602,85487,83373,81345,78882,80722,87367,91672,91103,91212,92250,92575,95660,95512,94700,98796
Age 33,North West,94424,96311,98394,102942,105528,106544,106750,107505,104189,104011,101368,100990,99097,100107,96936,91092,85694,83912,81905,79213,81177,87118,91363,91021,91474,92733,92627,95765,96054,94940
Age 34,North West,92913,94290,96152,98201,102369,104898,105952,106356,106577,104279,104105,101660,101637,99438,100744,97452,91276,86148,84326,82258,79653,81152,87040,91287,91356,91855,92911,92679,96287,96272
Age 35,North West,89204,92459,94207,95846,97743,101644,104189,105531,105725,106579,104217,104343,102266,102130,99825,101246,97762,91653,86420,84743,82460,79494,81090,86924,91600,91424,92007,93100,93080,96356
Age 36,North West,86060,89091,92452,94217,95628,97451,101169,103968,105036,105574,106339,104412,104888,102700,102573,99995,101744,98080,91959,86710,84910,82313,79228,80862,87069,91857,91539,92286,93480,93245
Age 37,North West,87755,85929,89035,92223,93954,95203,97035,100798,103424,104827,105312,106729,104762,105230,103075,102856,100148,102135,98252,92112,86758,84717,82163,79097,80926,87362,91958,91509,92573,93610
Age 38,North West,88288,87412,85911,88830,91774,93615,94690,96762,100196,103256,104619,105756,107192,105006,105327,103235,103240,100309,102278,98145,92196,86648,84492,82190,79276,81073,87457,91998,91734,92593
Age 39,North West,86469,87971,87392,85951,88614,91460,93423,94622,96504,100130,103127,104823,106244,107367,105121,105530,103428,103575,100471,102507,98170,91947,86519,84294,82364,79383,81236,87598,92233,91723
Age 40,North West,89417,86640,88128,87541,86069,88633,91311,93616,94488,96724,100050,103473,104880,106277,107391,104885,105448,103241,103831,100262,102434,97934,91694,86423,84318,82519,79360,81378,87827,92217
Age 41,North West,91587,89097,86596,87945,87277,85844,88309,91161,93471,94393,96679,100181,103788,104897,106311,107136,104821,105258,103248,103746,100116,102255,97828,91362,86447,84502,82503,79363,81584,87817
Age 42,North West,95086,91321,88924,86474,87659,87032,85659,88208,91072,93568,94295,96827,100431,103968,104835,106163,107048,104448,105187,103147,103680,99914,102110,97667,91481,86618,84583,82546,79612,81509
Age 43,North West,102173,94930,91195,88641,86309,87408,86806,85698,88050,91086,93464,94489,96966,100354,103973,104608,106123,106741,104412,104920,102903,103478,99696,101982,97707,91590,86694,84608,82627,79590
